,Batch Size,Test Loss
3,1,0.10811541229486465
1,4,0.11412127315998077
2,8,0.09935897588729858
6,16,0.0980890765786171
5,32,0.07188122719526291
0,64,0.08637918531894684
4,128,0.07219953835010529
